                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1016,                0.67377,                 1.0073,                0.86684,                0.70517,                0.82007,                0.54896,                 1.0348,                0.65368,                 1.0124,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1138,                0.67979,                 1.0047,                0.87704,                0.72036,                0.83568,                0.57127,                0.99689,                0.61169,                 1.0073,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1016,                0.67051,                 1.0074,                0.86056,                0.73016,                0.83342,                0.54965,                 1.0215,                0.62654,                 1.0031,               0.001307,               0.001307,               0.001307
                     38,                 1.0908,                0.66423,                  1.006,                0.86666,                0.74282,                0.84514,                  0.581,                 0.9833,                0.59631,                0.99859,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1022,                0.67047,                 1.0039,                0.88546,                0.71429,                0.83337,                0.56441,                 1.0034,                0.62455,                 1.0069,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0887,                0.67358,                 1.0034,                0.86916,                0.73083,                0.83913,                0.56713,                  1.006,                0.61426,                 1.0061,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0852,                0.65358,                 1.0002,                0.88166,                0.72712,                0.84129,                 0.5711,                0.99803,                0.60116,                 1.0037,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0743,                0.65013,                 1.0016,                0.88168,                0.72965,                0.84286,                0.56651,                 1.0138,                0.60137,                 1.0041,               0.001208,               0.001208,               0.001208
                     43,                 1.0729,                0.64672,                0.99278,                0.89309,                0.72779,                0.84629,                0.57953,                0.98459,                0.59796,                0.99565,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0818,                0.65216,                 0.9986,                0.89763,                0.72222,                0.84346,                0.56999,                 1.0068,                0.59453,                0.99856,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.058,                0.63462,                0.98578,                0.88183,                0.73472,                0.84344,                0.58169,                0.97185,                0.58353,                0.99783,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0629,                0.63761,                 1.0033,                0.88571,                0.71978,                0.84197,                 0.5635,                  1.023,                0.59953,                 1.0114,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0545,                 0.6436,                0.99302,                0.88738,                0.72205,                0.84133,                0.55543,                 1.0258,                0.59101,                 1.0043,               0.001109,               0.001109,               0.001109
                     48,                 1.0622,                0.63918,                0.99736,                 0.8945,                0.73438,                0.84978,                0.57733,                0.98583,                0.59014,                0.99906,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0376,                0.62995,                0.98366,                0.87675,                0.74485,                0.85075,                 0.5763,                 1.0016,                0.58189,                0.99358,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0559,                0.63816,                0.98486,                0.89614,                0.72661,                0.84735,                0.57182,                 1.0072,                0.58908,                0.99603,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0546,                0.63174,                 1.0022,                0.89581,                0.73658,                 0.8446,                0.57323,                0.99539,                0.57838,                0.99499,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0486,                0.61743,                0.97983,                0.87788,                0.74653,                0.85224,                0.57426,                 1.0015,                0.58531,                0.99494,                0.00101,                0.00101,                0.00101
                     53,                 1.0615,                0.63076,                0.99251,                0.87943,                 0.7402,                0.85162,                0.57212,                 1.0195,                0.58032,                  1.004,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.048,                0.62058,                0.98446,                0.89334,                0.74012,                0.85149,                 0.5789,                0.99387,                  0.571,                0.99805,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.031,                0.61378,                0.97978,                0.90249,                0.72644,                0.84525,                0.57537,                0.99205,                 0.5782,                0.99443,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0224,                0.59797,                0.97391,                 0.8744,                0.74249,                  0.852,                0.57524,                 1.0029,                0.57045,                0.99612,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0196,                0.60111,                0.97791,                0.88449,                 0.7435,                 0.8503,                0.57633,                0.98846,                0.56256,                0.98944,               0.000911,               0.000911,               0.000911
                     58,                 1.0243,                0.60433,                0.97975,                0.88548,                 0.7511,                 0.8578,                0.58998,                0.95906,                0.55523,                0.98746,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0205,                0.60596,                0.98565,                0.88439,                0.74148,                0.85203,                0.58211,                0.96772,                0.56042,                0.98506,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0198,                0.59727,                0.97897,                0.88617,                 0.7506,                0.85846,                0.58547,                0.96112,                0.55636,                0.98581,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0277,                0.59864,                0.97693,                0.88119,                0.75971,                0.85848,                0.59485,                0.95723,                0.55133,                0.98387,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0119,                0.59423,                0.96933,                0.89196,                0.74446,                 0.8582,                0.58865,                 0.9697,                0.55433,                0.98576,               0.000812,               0.000812,               0.000812
                     63,                  1.014,                0.60074,                0.98385,                 0.8924,                0.76043,                0.86168,                0.60575,                0.93359,                0.53379,                0.97938,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0231,                0.59005,                 0.9718,                 0.8911,                0.74992,                0.85728,                0.59232,                0.97621,                0.55206,                0.98662,              0.0007724,              0.0007724,              0.0007724
                     65,                0.99673,                0.58202,                0.96838,                0.88723,                0.75859,                0.86091,                0.59733,                 0.9564,                  0.548,                0.98128,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0117,                0.58277,                0.96724,                0.88901,                0.75605,                0.86298,                0.59469,                0.96456,                0.54408,                0.98221,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0171,                0.58681,                0.97902,                0.89562,                0.74654,                0.85897,                0.58823,                0.98134,                0.55072,                0.99084,               0.000713,               0.000713,               0.000713
                     68,                 1.0002,                0.58675,                0.97034,                0.89618,                0.75361,                0.86291,                0.58998,                0.95953,                0.54135,                0.98283,              0.0006932,              0.0006932,              0.0006932
                     69,                0.99679,                 0.5871,                0.97165,                 0.8867,                0.75065,                0.85946,                 0.5905,                0.96451,                0.54211,                0.98291,              0.0006734,              0.0006734,              0.0006734
                     70,                0.99566,                0.57868,                0.97418,                0.90365,                0.74671,                0.86297,                0.60238,                0.94001,                0.53747,                0.97755,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0004,                 0.5736,                0.96006,                0.89611,                0.75444,                 0.8589,                0.59272,                0.96454,                0.54102,                0.98145,              0.0006338,              0.0006338,              0.0006338
                     72,                0.99845,                0.57794,                0.97147,                0.88679,                0.75524,                0.86231,                0.59553,                0.96247,                0.54311,                0.98599,               0.000614,               0.000614,               0.000614
